id,age_group_det,pop,deaths,f_age
03251,ALT001B05,7218,2,1
03251,ALT005B10,9471,0,5
03251,ALT010B15,10319,1,10
03251,ALT015B20,12218,4,15
03251,ALT020B25,10990,2,20
03251,ALT025B30,11280,3,25
03251,ALT030B35,11287,6,30
03251,ALT035B40,11515,4,35
03251,ALT040B45,12335,15,40
03251,ALT045B50,18164,39,45
03251,ALT050B55,19745,57,50
03251,ALT055B60,17241,85,55
03251,ALT060B65,14036,117,60
03251,ALT065B70,12586,170,65
03251,ALT070B75,9632,201,70
03251,ALT075B80,12001,379,75
03251,ALT080B85,7233,407,80
03251,ALT085UM,5872,936,85
03252,ALT000,1274,1,0
03252,ALT001B05,4779,1,1
03252,ALT005B10,6061,0,5
03252,ALT010B15,6600,0,10
03252,ALT015B20,7710,2,15
03252,ALT020B25,7385,1,20
03252,ALT025B30,7435,5,25
03252,ALT030B35,7394,3,30
03252,ALT035B40,7681,3,35
03252,ALT040B45,7952,17,40
03252,ALT045B50,11312,29,45
03252,ALT050B55,13047,65,50
03252,ALT055B60,11952,70,55
03252,ALT060B65,10322,104,60
03252,ALT065B70,9181,125,65
03252,ALT070B75,7442,160,70
03252,ALT075B80,9308,322,75
03252,ALT080B85,5962,331,80
03252,ALT085UM,5468,809,85
03254,ALT000,2256,15,0
03254,ALT001B05,8956,0,1
03254,ALT005B10,11152,2,5
03254,ALT010B15,12569,2,10
03254,ALT015B20,15101,7,15
03254,ALT020B25,17005,5,20
03254,ALT025B30,15965,4,25
03254,ALT030B35,14338,7,30
03254,ALT035B40,14851,17,35
03254,ALT040B45,15588,24,40
03254,ALT045B50,21508,54,45
03254,ALT050B55,24401,70,50
03254,ALT055B60,21650,144,55
03254,ALT060B65,17971,188,60
03254,ALT065B70,16272,227,65
03254,ALT070B75,12913,316,70
03254,ALT075B80,15901,502,75
03254,ALT080B85,10158,615,80
03254,ALT085UM,8745,1327,85
03255,ALT000,570,6,0
03255,ALT001B05,2163,0,1
03255,ALT005B10,2757,0,5
03255,ALT010B15,3128,1,10
03255,ALT015B20,3893,2,15
03255,ALT020B25,3838,1,20
03255,ALT025B30,3770,3,25
03255,ALT030B35,3513,3,30
03255,ALT035B40,3509,3,35
03255,ALT040B45,3574,5,40
03255,ALT045B50,5417,13,45
03255,ALT050B55,6172,30,50
03255,ALT055B60,5727,38,55
03255,ALT060B65,5109,53,60
03255,ALT065B70,4597,71,65
03255,ALT070B75,3631,89,70
03255,ALT075B80,4557,160,75
03255,ALT080B85,2953,176,80
03255,ALT085UM,2632,398,85
03256,ALT000,1102,5,0
03256,ALT001B05,4179,1,1
03256,ALT005B10,5442,0,5
03256,ALT010B15,5976,1,10
03256,ALT015B20,7065,7,15
03256,ALT020B25,6426,4,20
03256,ALT025B30,6475,5,25
03256,ALT030B35,6351,5,30
03256,ALT035B40,6452,8,35
03256,ALT040B45,6771,7,40
03256,ALT045B50,9675,25,45
03256,ALT050B55,11017,43,50
03256,ALT055B60,9983,72,55
03256,ALT060B65,8184,86,60
03256,ALT065B70,7013,100,65
03256,ALT070B75,5128,119,70
03256,ALT075B80,6439,212,75
03256,ALT080B85,4210,235,80
03256,ALT085UM,3615,605,85
03257,ALT000,1333,7,0
03257,ALT001B05,4991,1,1
03257,ALT005B10,6348,1,5
03257,ALT010B15,7249,0,10
03257,ALT015B20,8754,1,15
03257,ALT020B25,7760,1,20
03257,ALT025B30,7858,4,25
03257,ALT030B35,7827,2,30
03257,ALT035B40,8235,4,35
03257,ALT040B45,8588,11,40
03257,ALT045B50,12842,22,45
03257,ALT050B55,14547,65,50
03257,ALT055B60,12603,90,55
03257,ALT060B65,10477,109,60
03257,ALT065B70,9614,139,65
03257,ALT070B75,7790,174,70
03257,ALT075B80,9562,296,75
03257,ALT080B85,5854,306,80
03257,ALT085UM,5384,962,85
03351,ALT000,1604,11,0
03351,ALT001B05,6405,2,1
03351,ALT005B10,8101,0,5
03351,ALT010B15,8753,0,10
03351,ALT015B20,9923,4,15
03351,ALT020B25,9148,4,20
03351,ALT025B30,9798,3,25
03351,ALT030B35,9768,5,30
03351,ALT035B40,9926,11,35
03351,ALT040B45,9760,10,40
03351,ALT045B50,13399,42,45
03351,ALT050B55,15265,68,50
03351,ALT055B60,13540,82,55
03351,ALT060B65,12105,127,60
03351,ALT065B70,10616,147,65
03351,ALT070B75,8772,199,70
03351,ALT075B80,10027,342,75
03351,ALT080B85,6042,341,80
03351,ALT085UM,5418,844,85
03352,ALT000,1628,11,0
03352,ALT001B05,6444,1,1
03352,ALT005B10,8612,1,5
03352,ALT010B15,9382,1,10
03352,ALT015B20,10866,3,15
03352,ALT020B25,9310,5,20
03352,ALT025B30,9741,3,25
03352,ALT030B35,9789,7,30
03352,ALT035B40,10138,10,35
03352,ALT040B45,11055,12,40
03352,ALT045B50,15892,44,45
03352,ALT050B55,17465,70,50
03352,ALT055B60,15487,96,55
03352,ALT060B65,13925,148,60
03352,ALT065B70,13396,195,65
03352,ALT070B75,10659,214,70
03352,ALT075B80,11755,385,75
03352,ALT080B85,7078,439,80
03352,ALT085UM,6048,978,85
03353,ALT000,2319,5,0
03353,ALT001B05,9136,2,1
